Test #,4f#0,4f#1,4f#3,4f#0,4f#1,4f#3
Delta V normalized,Contraction %,Contraction %,Contraction %,rotation angle (deg),rotation angle (deg),rotation angle (deg)
0,0,0,0,0,0,0
0.066666667,0.799086758,0,0.729166667,-0.238574648,0.085868394,1.177179604
0.133333333,1.997716895,0.893997446,1.458333333,-0.248685371,0.349370483,1.19E+00
0.2,3.595890411,2.681992337,2.916666667,0.026879243,0.20252952,7.85E-01
0.266666667,6.792237443,2.681992337,5.104166667,3.11787458,0.70525081,4.80E+00
0.333333333,9.589041096,6.704980843,9.479166667,8.161785074,6.247607759,9.73E+00
0.4,14.38356164,11.62196679,1.46E+01,12.43207211,9.8460745,14.42119845
0.466666667,18.77853881,15.6449553,1.82E+01,16.63878289,15.21679404,18.95874255
0.533333333,22.37442922,21.4559387,24.79166667,21.13346646,18.32449821,23.58234665
0.6,29.56621005,29.05491699,30.625,25.9734668,22.87753703,30.25732953
0.666666667,36.75799087,37.54789272,37.1875,30.51971526,27.41127475,36.12040613
0.733333333,44.34931507,43.80587484,42.29166667,37.66266292,32.57158761,41.67031158
0.8,48.74429224,46.9348659,49.58333333,42.78249831,38.44195935,47.46421652
0.866666667,58.33333333,53.19284802,57.60416667,48.29148947,44.04461372,54.00637191
0.933333333,65.92465753,60.34482759,66.35416667,52.09187899,47.80869855,58.65651579
1,73.11643836,69.28480204,72.91666667,54.58504923,51.35988087,60.42394338
